trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",30,14,-7.308522161319355,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",25,10,-24.834474460765907,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",20,0,-65.8238727615373,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",20,11,9.883167649164498,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",20,8,-10.717298245654025,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",35,0,-81.07404856308418,"{0: 29, 1: 1, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",20,0,19.715152714923505,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",30,4,-28.965145818702176,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 0}",1
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",25,0,4.373171026543622,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,0,3.758256221996197,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",25,0,-26.177110014331838,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",25,13,21.89920846047642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
