trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.9, 'e': 0.23457028809379768}",25,11,25.277785286433325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.23223627472975886}",20,13,13.473940901145898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.22992548518672387}",30,5,39.12277009003545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.22763768838381276}",25,20,7.52314282154254,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.22537265553943875}",25,11,27.075116910460686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.22313016014842985}",20,13,13.835041430865893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.22090997795937822}",25,17,14.736465649774132,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.21871188695221477}",25,13,22.346504913006683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.21653566731600707}",20,10,20.257230986667153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.21438110142697797}",25,7,34.36374497872007,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.21224797382674307}",20,16,7.04520916489233,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.21013607120076475}",20,13,13.496051254472064,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.20804518235702046}",20,5,27.010695413666063,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.20597509820488347}",25,10,23.676012405579637,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.20392561173421345}",25,16,16.91917229186165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.2018965179946554}",20,8,23.541732823949395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.1998876140751445}",25,2,37.88839005354548,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.19789869908361468}",20,14,13.032212224679343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.19592957412690934}",30,14,28.881412334087663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
